,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
19114,South Africa,Bangladesh,Johannesburg,71,74,8,9.26086956521739,48.0,118
11174,India,New Zealand,Hamilton,121,34,7,8.44186046511628,30.0,179
25398,Australia,Sri Lanka,Barbados,73,52,5,6.4411764705882355,35.0,168
780,England,South Africa,Cardiff,49,79,9,7.170731707317073,36.0,181
42092,Pakistan,Australia,Dubai,30,89,7,5.806451612903226,29.0,96
38835,New Zealand,Bangladesh,Mirpur,204,0,5,10.115702479338843,52.0,204
25359,Australia,Sri Lanka,Barbados,30,91,6,6.206896551724138,30.0,168
11262,India,New Zealand,Wellington,69,72,7,8.625,34.0,165
50437,Sri Lanka,Australia,Colombo,64,58,6,6.193548387096774,20.0,128
4029,Pakistan,New Zealand,Auckland,57,85,10,9.771428571428572,52.0,201
35662,England,New Zealand,Auckland,62,84,9,10.333333333333334,51.0,214
24249,South Africa,Afghanistan,Barbados,54,79,8,7.902439024390244,39.0,139
12982,Bangladesh,Pakistan,Lahore,45,65,7,4.909090909090909,23.0,136
30183,South Africa,New Zealand,Auckland,75,65,7,8.181818181818182,37.0,165
11990,England,Australia,Southampton,25,87,9,4.545454545454546,23.0,145
23642,Australia,Pakistan,Melbourne,52,81,9,8.0,40.0,127
1467,West Indies,Pakistan,Dubai,96,19,2,5.702970297029703,47.0,115
48546,New Zealand,Bangladesh,Kolkata,101,25,6,6.378947368421053,36.0,145
29499,Sri Lanka,Australia,Pallekele,161,15,7,9.2,65.0,198
44792,India,Australia,Adelaide,140,22,8,8.571428571428571,44.0,188
48797,Australia,India,Chandigarh,119,25,6,7.515789473684211,33.0,160
4491,India,England,Cardiff,139,1,5,7.008403361344538,46.0,148
1294,West Indies,India,Lauderhill,72,65,8,7.8545454545454545,31.0,143
9597,England,South Africa,Durban,92,55,7,8.492307692307692,37.0,204
5898,Sri Lanka,India,Colombo,52,87,8,9.454545454545455,38.0,152
11525,West Indies,India,Lauderhill,45,57,5,4.285714285714286,12.0,95
44319,Sri Lanka,Pakistan,Colombo,171,2,4,8.694915254237289,58.0,172
25179,England,South Africa,Barbados,133,23,6,8.22680412371134,35.0,168
49184,New Zealand,England,Delhi,149,7,4,7.911504424778761,38.0,153
41484,Pakistan,South Africa,Cape Town,45,74,8,5.869565217391305,32.0,176
9729,South Africa,England,Centurion,120,45,7,9.6,36.0,222
3723,New Zealand,West Indies,Mount Maunganui,61,90,9,12.2,61.0,102
48162,India,Bangladesh,Bangalore,84,42,8,6.461538461538462,35.0,146
45146,England,Pakistan,Dubai,94,40,7,7.05,40.0,160
22163,New Zealand,West Indies,Auckland,54,77,8,7.534883720930233,37.0,155
47759,Bangladesh,Australia,Bangalore,46,76,8,6.2727272727272725,40.0,156
46772,New Zealand,India,Nagpur,33,83,8,5.351351351351352,20.0,126
18420,New Zealand,South Africa,Johannesburg,45,80,7,6.75,38.0,129
15775,England,Australia,Cape Town,132,8,3,7.071428571428571,33.0,135
44811,India,Australia,Adelaide,175,5,8,9.130434782608695,56.0,188
50405,Sri Lanka,Australia,Colombo,43,90,9,8.6,43.0,128
860,England,South Africa,Cardiff,180,1,2,9.07563025210084,42.0,181
42174,Pakistan,Australia,Dubai,86,11,2,4.73394495412844,28.0,96
28460,New Zealand,Pakistan,Hamilton,90,54,9,8.181818181818182,38.0,185
41657,Sri Lanka,Bangladesh,Chittagong,125,28,4,8.152173913043478,33.0,168
25437,Australia,Sri Lanka,Barbados,134,13,5,7.514018691588785,57.0,168
33753,West Indies,Australia,Colombo,57,77,9,7.953488372093023,43.0,205
34456,West Indies,Australia,Barbados,116,51,7,10.08695652173913,44.0,160
25140,England,South Africa,Barbados,81,62,9,8.379310344827585,34.0,168
42545,England,New Zealand,Manchester,109,41,6,8.278481012658228,32.0,191
42757,New Zealand,Pakistan,Dubai,50,77,9,6.976744186046512,43.0,144
25152,England,South Africa,Barbados,100,50,8,8.571428571428571,32.0,168
35555,Pakistan,South Africa,Centurion,83,67,9,9.39622641509434,54.0,195
46907,England,West Indies,Mumbai,58,78,9,8.285714285714286,46.0,182
12396,Pakistan,England,Manchester,136,29,7,8.967032967032967,49.0,190
43981,Pakistan,Bangladesh,Mirpur,29,87,10,5.2727272727272725,25.0,141
47058,Pakistan,Bangladesh,Kolkata,105,49,9,8.873239436619718,46.0,201
30569,West Indies,England,London,57,44,7,4.5,26.0,113
39010,Afghanistan,Bangladesh,Mirpur,45,68,6,5.1923076923076925,28.0,72
3626,Sri Lanka,India,Colombo,84,64,7,9.0,38.0,170
30702,Sri Lanka,Pakistan,Abu Dhabi,108,39,7,8.0,26.0,141
409,New Zealand,Bangladesh,Mount Maunganui,41,85,8,7.0285714285714285,32.0,194
21570,South Africa,India,Nottingham,71,56,8,6.65625,25.0,130
12510,Sri Lanka,Pakistan,Lahore,109,40,9,8.175,30.0,165
39855,Sri Lanka,England,Chittagong,48,78,9,6.857142857142857,40.0,189
2959,Bangladesh,Sri Lanka,Colombo,137,29,7,9.032967032967033,35.0,176
21438,Sri Lanka,New Zealand,Nottingham,71,66,8,7.888888888888889,36.0,158
31079,England,Pakistan,Abu Dhabi,89,26,5,5.680851063829787,24.0,129
36271,Australia,Pakistan,Dubai,47,81,10,7.230769230769231,40.0,168
47029,Pakistan,Bangladesh,Kolkata,65,78,9,9.285714285714286,39.0,201
28373,Pakistan,New Zealand,Auckland,111,16,2,6.403846153846154,27.0,143
18916,Australia,West Indies,Barbados,61,79,9,8.926829268292684,43.0,97
48132,India,Bangladesh,Bangalore,49,72,8,6.125,32.0,146
24982,New Zealand,Pakistan,Barbados,36,92,9,7.714285714285714,35.0,133
13450,New Zealand,West Indies,Mount Maunganui,49,84,9,8.166666666666666,44.0,238
9751,South Africa,England,Centurion,168,27,7,10.838709677419354,55.0,222
2201,New Zealand,Australia,Auckland,167,35,8,11.788235294117648,71.0,243
31268,India,Afghanistan,Colombo,34,84,8,5.666666666666667,25.0,159
38267,Sri Lanka,Pakistan,Dubai,65,70,10,7.8,38.0,211
11666,India,West Indies,Lauderhill,111,43,9,8.64935064935065,43.0,167
20360,South Africa,New Zealand,London,85,31,5,5.730337078651686,28.0,128
48658,England,Sri Lanka,Delhi,96,33,7,6.620689655172414,32.0,171
25064,New Zealand,Pakistan,Barbados,113,13,4,6.336448598130841,29.0,133
43640,South Africa,Bangladesh,Mirpur,95,60,10,9.5,54.0,169
20434,Sri Lanka,West Indies,Nottingham,73,80,10,10.95,52.0,192
2788,Bangladesh,Sri Lanka,Colombo,69,72,7,8.625,40.0,155
2598,West Indies,Pakistan,Barbados,85,17,3,4.951456310679611,29.0,111
21674,Pakistan,South Africa,Nottingham,54,74,8,7.043478260869565,25.0,149
16850,Australia,Pakistan,Johannesburg,93,52,6,8.205882352941176,31.0,164
34691,West Indies,New Zealand,Lauderhill,64,63,9,6.7368421052631575,32.0,209
39602,South Africa,New Zealand,Chittagong,35,86,8,6.176470588235294,33.0,170
19214,Australia,South Africa,Johannesburg,71,61,6,7.220338983050848,48.0,166
978,India,England,Nagpur,140,5,5,7.304347826086956,35.0,144
27597,Australia,England,Adelaide,83,68,9,9.576923076923077,59.0,157
17949,India,Pakistan,Johannesburg,49,75,8,6.533333333333333,24.0,157
20244,Australia,Sri Lanka,Nottingham,105,26,4,6.702127659574468,31.0,159
2469,New Zealand,Australia,Auckland,125,21,2,7.575757575757576,28.0,150
46921,England,West Indies,Mumbai,76,64,9,8.142857142857142,39.0,182
13161,Australia,India,Sydney,162,15,7,9.257142857142858,42.0,194
43135,South Africa,Australia,Sydney,69,70,10,8.28,48.0,145
26841,Pakistan,New Zealand,Dubai,54,77,9,7.534883720930233,51.0,161
20489,Sri Lanka,West Indies,Nottingham,157,27,8,10.129032258064516,48.0,192
20304,South Africa,New Zealand,London,41,87,10,7.454545454545454,38.0,128
29978,South Africa,New Zealand,Wellington,110,24,5,6.875,44.0,147
19320,South Africa,Australia,Centurion,44,79,8,6.439024390243903,30.0,156
37669,England,West Indies,Barbados,144,5,4,7.51304347826087,39.0,152
35572,Pakistan,South Africa,Centurion,120,50,8,10.285714285714286,58.0,195
30811,Pakistan,England,Dubai,76,49,5,6.422535211267606,20.0,144
27112,Sri Lanka,India,Nagpur,94,55,9,8.676923076923076,51.0,215
28055,Pakistan,South Africa,Abu Dhabi,35,84,7,5.833333333333333,28.0,120
17996,India,Pakistan,Johannesburg,111,29,7,7.318681318681318,41.0,157
49001,Sri Lanka,South Africa,Delhi,75,65,8,8.181818181818182,31.0,120
9293,Australia,Sri Lanka,Adelaide,180,26,9,11.48936170212766,57.0,233
38644,Sri Lanka,England,London,76,66,8,8.444444444444445,46.0,183
15619,West Indies,Bangladesh,Johannesburg,94,41,9,7.139240506329114,40.0,164
31957,India,England,Colombo,129,20,7,7.74,43.0,170
20377,South Africa,New Zealand,London,109,14,4,6.169811320754717,44.0,128
39783,West Indies,Bangladesh,Mirpur,117,29,8,7.714285714285714,37.0,171
50303,Australia,Sri Lanka,Pallekele,86,70,9,10.32,47.0,263
31219,West Indies,Bangladesh,Mirpur,115,11,4,6.330275229357798,27.0,132
41737,Bangladesh,Sri Lanka,Chittagong,54,69,5,6.352941176470588,18.0,120
20469,Sri Lanka,West Indies,Nottingham,124,46,10,10.054054054054054,48.0,192
32389,South Africa,Pakistan,Colombo,28,83,7,4.54054054054054,25.0,133
35056,India,England,Mumbai,64,78,8,9.142857142857142,53.0,177
46598,South Africa,Sri Lanka,Johannesburg,107,17,3,6.233009708737864,33.0,113
8788,Pakistan,New Zealand,Abu Dhabi,91,38,7,6.658536585365853,41.0,148
39538,West Indies,India,Mirpur,83,25,6,5.242105263157895,32.0,129
18818,England,New Zealand,Christchurch,91,52,6,8.029411764705882,23.0,193
25779,India,Sri Lanka,St Lucia,110,42,8,8.461538461538462,36.0,163
15699,England,Australia,Cape Town,37,82,9,5.842105263157895,27.0,135
6937,Sri Lanka,South Africa,Cape Town,105,21,5,6.363636363636363,29.0,134
45557,England,Pakistan,Manchester,134,2,3,6.813559322033898,30.0,135
44042,Pakistan,Bangladesh,Mirpur,102,29,7,6.725274725274725,38.0,141
29846,Australia,India,Melbourne,94,37,5,6.795180722891566,35.0,131
23810,Afghanistan,India,St Lucia,83,29,7,5.472527472527473,33.0,115
45360,Sri Lanka,England,Southampton,61,75,8,8.133333333333333,44.0,140
8809,Pakistan,New Zealand,Abu Dhabi,113,18,6,6.647058823529412,35.0,148
